Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
I love the fact that Tom is back in Australia.,ilove thefa ctth adt oni sbac,iwo mterwhent om wi ll pego ingtoa ustr alia,g ima  ustl alia,Alternative2
I really should have known that., lys ho u rdhavegnowmthat,i leal,ignowt ha d ishourtn  tlie,Alternative3
We are baking a delicious cake.,wear ep aki nga deliciouz cake,ledsba kec oogies,wouldamy body li k eamotherp ieceovc age,Alternative1
Mary doesn't speak English.,zem glish marydoesmtzpeag e n grizh,zh esbeak,d omgmewn aryco u rtntspeagfle nch,Alternative3
Tom needs to stay here for now.,tover he relight mow don tomm ee dsdo zta yher eforn ,ge,ow,Alternative1
Tom often spends his spare time reading novels.,donof tem zpe ndz hisspaleti  me read imgnofels,to mu z et doreatal od,,Alternative1
"I wondered to hear her talking of death, when, to all appearance, she seemed as well as we had ever seen her.",iwonte re ttohea lh  erdargimkofdeathwhe ndo arl ab pea la  nceshe  ze  emedaswelr aswehad ev e  rseenhe  l,efe n dh oughz hezintheaft erri f ehel   gh os tabpe arztomeevelynigh timthe bedloon,,Alternative1
Why is it like that?,w h yisitl iketh at,howc ome youapbear edliked  hat,why iz thatrid icurous,Alternative1
Who is Pedro?,oi zpetlo  donwh osdo m,w h,,Alternative1
"Hi Mr Ant, keeping up the good work today as well. Here's a sugar cube.",yan min eedszug ald onake s onev igjan himla nt kee b i ngub theg oo dwork today azwe   rlheresaz ugarc,,upe,Alternative1
"I like you, too.",i ligeyou to  o,you ret h eo neilike,,Alternative1
Ave Maria.,z h esaidd hads hewazm ary a vemaria,,maryi smymoth e linlaw,Alternative2
"Not five minutes after he started running, he tripped on a rock.",mo tfivemin ut esafter hezdal tetrum ning h  ed ribb edonaloc  k,heca neviv emi mutespehindt  heappo imt ettime,,Alternative1
I won't drink that.,tdr in g i wontdlin,m othamksiton, g that,Alternative1
We love going on picnics., el ovego imgonpi cnicz  wetoo katvam ta geovt h,w,ezunny we ad helto goo napicnic,Alternative3
Tom and Mary said that they didn't really feel like doing that.,to man tmal ysaid dha tt heydid mtr e all yf eel  likedoingthad,to mamdmar yimsistet th ey wo ul dnddothad,,Alternative1
Tom and I are now dating each other.,tom am di are nowt ati ngeach odhel  domam tna ryare,to mamt  ihav ebroke nub,do ged herri ghtnow,Alternative2
Maybe Tom doesn't know who can sing well and who can't.,m  aype tomtoesn t kn owwh ocamsim  gw ellandwhoca mt,,to nco ul dmdh aveknownthat,Alternative1
I'm sure all of you know Berber.,i msule ar lo fyou gnowp elber,id on dsbea kberberth adwerr ,igmowdhatyoua lel  earni n gloj bam,Alternative1
I'm always thinking about you.,im alw ay sthi mkimgabout,i always t himkabou tid,you,Alternative1
My mom told me that I'm fat.,nymother sca r lingme nyn o mt oldnethad,,i  mfa t,Alternative1
I'd never done it before.,itmefer  toneid be vol e,,i  vene verdomethadnoteve n om ce,Alternative1
You'll be laughed at if you do that.,you llb ela ughe dadi  vy oudothat,you llp e invit z whenyou h eal thisjoge,yo u looklike yo urehes it  anttotothad,Alternative1
Tom and Mary don't want to become teachers.,to mantmar ydo m twantt obe come teachers,t om andma r yare  ntwil linktodow hatw  ewantthen  todo,ith ingto man dm aryd o n twantdod  odh  adrightnow,Alternative1
"Tom, could you come into my office?",co net oo do mcoul d you conei nton yoffice,can ton,d onrush edoudo  vhiz office,Alternative3
Tom and Mary did something I never thought they'd do.,do m antmalydidzo   methi m kine ferdhou,t omandma lym ate uptheir min d  snottodo d hat,ghdth eytto  tonan,Alternative2
"""Could I get uhhhhhh... burger?"" ""Sir, we don't sell burgers here.""",  pu  rger sirw edontsell burgelzhele  limami ss edziri, coultig etuhh hhhh,sneat wh atdoyoun e a nfolgetit,Alternative1
Is this product available in Algeria?,ist hisproductaf ail apreinal ker ia  doyouriv einal ge li,t otheylif  einal geria,a,Alternative2
Greed and fear of loss are the roots that lead to the tree of evil.,gr ee dant  fearo v ro ssale ther oodztha tle ad t othetre eofevir  my tr eeloogszic gwh ats wlo ngwith it,vealshan eand kuirt a reefv e ctifemea nz ofmanipuladingpe ople,,Alternative2
Algeria and Morocco could become North Africa's economic powerhouses.,ouldbec o me mordhafric a seconomicpowerhou ses  can algel iaachief epiggerec,algeriaand noroccoc ,onomicgr owth,Alternative1
Tom isn't sure what's going to happen.,id o ntd h imgt onexp ectetdhattohabpen ton isnd zurew ha ts going tohappen,,tomt oe sndye t kno wwhadhelld o,Alternative3
"Muslim men are allowed marry Christian and Jewish women. If your wife is Christian or Jewish, how would you hate her in the first place?",yle doings omet himkthad snotmoralryacce p d ableinizram nuz limn e narear rowed na r rychlis tiam  amdj e  wish wonemivy o ulwife ischr iztiamoljewish   howwoultyouh atehel  inthefirstprace,muslinszhouldnot ap us e homo sexu arsevent houghthe,he rbio lokicalfa theriznu slin,Alternative1
Tom looks like he's lost a lot of weight.,tol oses ome weikht to nl oo kzli geheslo z ta lo,tomm eets,tovweigh t,Alternative1
You're not going to infect me with an illness that doesn't exist.,you le n odgo in ktoimf e ctnewi dhani lrnessth a,i hop e thati dond  cad chacort,tdoes ntexist,Alternative1
I'm not obsessed with money.,b z ezsedw idhnom ey  iton tha ve dh emo n,imnodo,e yto buyacal,Alternative1
Tom seemed a little disappointed.,tomse e me daridtledi zapbointed  tonloogsa litt,domtidmt se ent oodisapp oimted,l ed epreszet,Alternative2
I'm willing to help – within reason.,imwil lim gtohel b–withi n  leasom  imk o,wewa mtt ohelpyo ub ec aus eyou dezelf eit, ing doge,Alternative1
She was tricked into doing it.,shewast rick edi ntod oinkit ,sh ewas b unis hedfol toingdhat,shed evo tedhe rzelftoh in,Alternative2
"You knew I was going to kiss Tom, didn't you?",you gne w iw asgoim  gtok  izs tomdidndyou,i hatmoide at hat youk newd on ,d itnt youknowth  atd o nanti ofde ms ingdokedhel,Alternative1
Ziri exchanged his bill for change.,eafletdol ima s il iexchankedhis bill forch ange,zili z howed thel,s iliresigne dov erthat,Alternative3
Tom said that he plans to stay until Monday.,to msa idt hathepla nst o stayumdilmond  ay  to msaystha,tomsa ith edit ntpl  a nongoing  dhisweek,thel lcome tomo lrow,Alternative2
He watched a Swedish movie.,t ched azwedi zhmof ie  t hepro tovth,hewa,e noviedage sb lace inasibel iamcou ntl yzite,Alternative1
Tom and Mary say they're not happy.,bby aboutdh is tomand nar yzay they l enot hapb,it ort you t omandnarywe l ent goinktob eha,y,Alternative2
Trust me. You can do anything... but you can't do anything well.,tlus tm eyou c an toan ything butyouca mtd  oanydhi ngwe ll,,an yof you cant o it,Alternative1
That's a cheap store.,t hatsa che absdo  le,thisbag isexpen s ive,,Alternative2
This is a big decision.,neofdhemosdi mporta ntd ec isionsy oullevelhave tomage th isi sab igdeci ,th iswillbl obabl ype o,sion,Alternative2
I wish my wife was as good a cook as yours.,iw ish myw if  ewaza sgoo tac  oo kazy ours,,youream excelle mtco og,Alternative1
Tom isn't as mad as Mary is.,ton is nt azm  ad  asnaryis,do misti cklizh pudma ryizn t,,Alternative2
Tom and Mary said they didn't think John did that.,d t  heyditmd d hinkjohntidthad  t,d omamd ma ly zai,omam d ma ryza ittheydo n tminddoi ng thatfor john,Alternative3
Doesn't Tom trust us?,d oezmdtomdruz d us,doyou kmo wwhydomd  oesn  t drusdyou,idon tthi ngt oniz comfi demd,Alternative1
"Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip.",d hro ughout dhefiv eyea rso  fbaimvulcancer tr eadm en tzheman  agedtokeepa st,tonsu fveredfrom pon ecamc el, iffubperrib,Alternative1
Please just get out of my way., ed out  ovn  yway,pleasejustk,z dopgan gimku po nme,Alternative3
Tom went to the casino.,t o mw enttodheca sino,tonend eredthe bang ,tomrip betu pthech e que,Alternative3
That water is a little salty.,thatw  at erisa litd lesar dy,,t hiswa teri zmo tcold,Alternative1
I want you to give me some advice.,w am tyou tok ivem ezomead v ice  p leaset,i,erl me wha tyouwan tm etodo,Alternative3
"A big ship, like a large airplane, has an enormous reynolds number; airships and low-mass submersibles are quite different.",hehazaralg e tr ucg a bi gzhiplikealalg eairpl  anehaza nenormou  sleyn oldsnu m ber airz hipsant lowm,,asssu bmer ziblesa r equitetifverend,Alternative1
I didn't have all my stuff.,ididn  t havea rrnys d  uvv,itit ndbuy eve rydhi nkyou  a skedm etobuy,,Alternative1
Sami and Layla ended up breaking up.,zamiandray la wen tahe adwit hativorce sanian draylae ndedup br eak  ingup,,san i amd laylawer eno lonkeltokedh er,Alternative3
Mum plays tennis.,i rig etopl ayt enmiz mumbla ys ,,dennis,Alternative3
He only cares about himself.,on lycare sab oud himzelf  he has,he,hisow nprob rems,Alternative1
I thought that Tom was bored., ughtdhadd onw azpo red  it h imk th atdonizbus y,i tho,,Alternative1
Sami is sitting in jail.,sa mi issitt ingimjair ,zamiwa strapped ins ide,sam ii snowi  naco ma,Alternative2
Sami was sexting Layla.,sa miwaz sexdingl ayla,s anibi cgedonlay la,za mitookdhadvr om lay la,Alternative1
There's fresh bread and water here.,hbr e adamdwatelhele  ipoughd vres h plead,th e lesf rez,,Alternative1
Gentlemen NEVER snatch things from ladies . . . or forget to say thank you . . . or pull anybody's hair.,f ealittle dha mks gend r e mennever sn a tc hd himg sfron raties    olfolkett  oza ytha ng yo uorpurlan ybodyshai,w hytontyou gi veyou rwi,l,Alternative1
Benedito's salad is a great way to use up leftover roasted vegetables.,ronhispr ands pe n edi to szal atis akrea twayt ouzeu p r,b enedidoharfestedfe getable sf,evdovelroazd edvegedables,Alternative1
Is it hot in Boston now?,zsumn el i sitho t i npostom no,are mtyou goi ngtob einpo sdo ndhi,w,Alternative1
She played music.,nu sic shepl ayed,ic amplay, muzic,Alternative1
Do you go by train or car?,iwi lldagee ith erbu s o rtraim toy o u gobyd  rai nolcar,,areyoudr if ink,Alternative3
Thank you for releasing me from my shackles.,thankyou forrele a sinkn ef r omnyshack les,iap preci adeyo ulcandol,dha nks vo rboindi ngdhato udd ome,Alternative1
Tom likes to kill frogs.,doml i gesd ogi,tomiskoodatim it a tinkd hecroa  gingo f flogs,l lfrogs,Alternative1
Tom couldn't make it.,to n wou r dm tbeabl etotothat t omcouldndm ,,age id,Alternative3
"If he doesn't accept the job, some other person will.",ivh ed o esn tacc ebdt hejopz o meotherpers o nwirr,,hep loni zed no dtodothat an yn ore,Alternative1
How do I know that you're not lying to me right now?,how doi kno wt haty our  eno dly,wha t caniterl yo ua pou dmyzelfdha ty oud omdal rea dykmow,i  mgtome lighdnow,Alternative2
He's a jerk who preys on other women.,e zaj el kw hobleyso n othelw onen  hesz uc hawim p,h,,Alternative1
Tom should've done that long ago.,zt p ekett imguz etdod oing dh izbynow tomsho ur dve tonethatro nka,d ommu,go ,Alternative2
She closed the curtains.,she clo setd hecurdains  s h epu,zomeonecl osedhewin dow s,th er hea toudofthe wimdow,Alternative2
Igor got lost in the wilderness in the dark.,iko rkot rost imthewilt  ernezz imthe  dark,gus ta vog otrost i ndhemamziom,ik olsg erm amsh epheltwasru nmingaway,Alternative1
The first will be the last.,thefil s tw ilr bethe rasd,may bethatwa st helas  tone,h ewo uldp  ethe lastp ersomt obetray otherz,Alternative2
She's in the library all day long.,zhezin ther ib rarya  llt aylon g,irr seeyouadt hel ib r arytom orlow,,Alternative2
Sami is going back upstairs., m iisgoi nk packupzdairs  saniwalk et behin dme,sa,,Alternative1
We knew that Tom would win., egnewt haddo mwou lt win  tom ber ievezt had hecanwim,w,,Alternative2
This website is useless.,t his we bsiteisusele zz,,ourwep zite isof vline,Alternative1
I hope this is a good list.,ihobe thi z isagoo d rizt ,p le asetakeny nameoffth e liz t,h er nameshoultha fe bee nont herizt ,Alternative1
Tom won't return my calls.,t on said h edc alrmelight pacg tom wontr edurmm ycarl s,,iti tn tkmowt  om wouldco mepacg,Alternative3
"Sleeping in your car is like camping, sort of.",s reepi ngi nyou r cali  srige campingsoldof,ido n dri keca m pimgtoyoul ig ecamping,iu z edt ogo cam  pingalot,Alternative1
Bring Tom here.,g domher e  getofe,brin,rh e lerightm ow tom,Alternative1
Have you found anything yet?,hafey oufounda n yth inkyed,hafeyoudisc ov er  edanydhingmew,hafeyou te sded i tyet,Alternative1
I looked over the documents., edov erdhe documemt s  i di,iloog,dmds ignthadd ocument,Alternative1
His hobby is painting pictures of flowers.,hishobpyi zpaim t inkp icduresof vlow ers  zhesa ystha t shel ,dheysben dallo fdheir tim epa i mding,ovesvlow ers,Alternative2
What decided the end of the Roman Empire?,w ha t tecitedth ee ntoftheron a nem  pile,w hadwaste cided,,Alternative1
Mary has decided to try to do that by herself.,ryist oimgth atbyher z erf ma ryhasdec ide dt otrytod oth  ,ma,at b yhelserf,Alternative1
None of what's happening today has anything to do with me.,n om eof whadsha bbe m inkto dayha sanyth i mk totowithme,,what ef erha thappe ned int hebazt wasnowirreleva nt,Alternative1
Mennad was revising for his exams.,ne nmadwas reviz i mgvorhi sexam  z,n e mna tisgonnata gethe test,,Alternative1
"Hate mail often contains exceptionally abusive, foul or otherwise hurtful language.",hatemairoft encom taimsex c eptio narlyabusiv e fourorodherwiseh,inmanyemglishw o rtsth eleal el etters dhadar en  tpronoumcet,urt ful ram guake  ardhoughid,Alternative1
Yanni was mocking his teachers.,yanni wasm ocg inghiztea chers,yanm iwash afin  gamozebleet,yanmiwa sbunishet for speedi mk,Alternative3
Everyone has domestic troubles from time to time.,ev eryo nehas dome stictr oublezfro ndim  etotime,,ev erybodyvee lsadh omew i dhhim,Alternative1
We can't stay here.,camt sday he le  c am pod hof ussda yhere,we,,Alternative2
The primary means of communication for cats is body language.,t hebrimarymeans o fcomnuni cati on volcatsispo dy lam guag  e,english izapasicto olforin de lmationa rconnumic atio m,,Alternative1
The context is important.,secrec yisinpo ltant th ecomte x dis,,imbortamt,Alternative1
"This is my friend, Skura.",thisism yvri en dzkur a,s he isnycla ssnade,yannibe can ereacqua i ntetwitham ol dvriend skura,Alternative1
You're as tall as your father.,you rv adhe rizbretd ytarl yourea stallasy  ourfa ,, ther,Alternative1
Somebody hit me.,isqu ees edone sonepo dy hitne,,zomepotykil le dhim,Alternative3
My sock has a hole in it.,nyam k leizzworl en m yzo ck haza ho lein it,,my p amt shas alo to vlind,Alternative3
I think Tom and Mary need a ride to the airport.,id h imktonamd mary   needalid  eto the air  port,isuspe ctd oma nd m aryhavetol e ave,,Alternative1
"Edmundo told Rima, too.",dtogl abrima ednun to tord,ednu ntotrie,lim atoo,Alternative1
No one's answering the phone.,nesamzwer ink th epho ne  youge to neph onecalr,noo,,Alternative1
Don't laugh at him.,do mtlauk ha dhim,to ndr aughyet,he ditn dsmile,Alternative1
I saw Tom and Mary looking at themselves in the mirror.,to na mtmarygla mc eddo the irrevd isaw to mandna lyloo  gi ng ad dhe mselvesi,,nt henirror,Alternative1
I always end up looking up the same words in the dictionary.,ial waysenduplo o g imgu pthesam ewor dzin t he dicdi o,i wand tohavedh izd iction  a rynosd ofalr,nary,Alternative1
I didn't get my wish.,ididn dg et my wi,icourtn tget wh ath  ewanted,zh,Alternative1
He drove to work.,h edrofed o wor,z hego thimto d live,k  h,Alternative1
"""Duke Onkled, it's tax season! You are under a ton of taxes!"" ""Don't hurt me, taxes! Please! I'll pay you this key!"" ""Acceptable enough. Now go away!""",zo nd imey oucamleaveifyouw ant d ug eon k leti tzt axse ason you al eunde  rato novdaxes tonthur tnet  axesplea  z e illp ayyouthi skeyacc epta plee moukhnowgoaway,y ouvep aidyourt axe,ohboy  alsayib sigh ed wel rhownu ch  doy ou need ivekot aboud10 gr andj ustsitt i mgin  myoffzhoreaccount,Alternative1
"By the time Mariner 2 approached Venus, one of its solar arrays had failed and the vehicle came dangerously close to overheating, but it remained healthy enough to complete its scientific mission.",e dimemarinel2a pp ro achedv emuson e ofitzsol ara   lray  sha dvailetamdtheve hi crecame   tamgerousl ycros edoofe r he atingb udidlemainethea lth yenou ghtocompreteitssciemtific nizsion,b yth ,the twoovth emko tov f d hebusand warke d ani leint   he hotsun shine,Alternative1
What we owned in those days could fit into a shoebox.,utth eol dtayz wh atwe o wne t inthosedayz couldf itim t o azhoepox,welenin izcedapo,m ys hoe race hazz n abbedill b ewithy ouim atick,Alternative3
The initiative measurably improved quality of life for the villagers.,lzisb ettert h amten year sagoi mma nyways theinidiativemeasurapry imp r ovedqu alit yo flivevolth e villag els,e,dhep obul ad iono  vthevillag  edropb etbyadhirt,Alternative3
Our website is offline.,th is webziteisuse less ou rwebsite isoffl ,,ine,Alternative1
He found out about it on his own.,md out abo utitomhis o wn  heg,hev ou ,new zhe couldmdt ot hatbyher serf,Alternative3
Everyone knew that Tom was unhappy.,evelyon ek nowswho kirl etton ev elyomekne wtha ddomwa sun ha,,ppy,Alternative1
The United States is the largest producer of cheese in the world.,ce isthemosdfisidetc oumtl yin the worl d theunited st ate zisthela rke zt plo tuce  ,flan,ro fcheesei mthewollt,Alternative1
Am I being sacked?,a nip eimksack  e,amih orr ible,d,Alternative1
